neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P_2,92,2,excitatory,23P,13,13,1.0,0.0,0.5614215724943843,0.926100467518322,0.00014664895506662681,88647.06873699665,0.1797306321427197
exc_23P_2,93,1,excitatory,23P,5,4,1.25,0.4,1.3609742642960827,-1.4392720128132872,0.00014629311104511245,34177.95933301431,0.0656104797550626
exc_23P_2,94,1,excitatory,23P,14,12,1.1666666666666667,0.2857142857142857,-1.4383289249851663,-0.5067423874781477,0.00023836197750000783,58734.19975297671,0.1152413083889811
exc_23P_2,95,1,excitatory,23P,6,6,1.0,0.0,0.2130600826357231,-0.3011244343570182,0.0001249604387430333,48015.19633216322,0.0957603910259455
exc_23P_2,96,2,excitatory,23P,13,12,1.0833333333333333,0.15384615384615385,1.1875183954544413,-0.4726226399291609,0.00022220032096039515,58505.76607545545,0.1167510785911512
exc_23P_2,98,2,excitatory,23P,15,13,1.1538461538461537,0.26666666666666666,-0.0781549026116336,-0.485696508964142,0.00013596588752439132,110321.78933343929,0.2141338791836078
exc_23P_2,99,2,excitatory,23P,23,18,1.2777777777777777,0.34782608695652173,-0.2376054068603501,-0.4735784715678002,0.0002166380371423101,106167.87478041652,0.2112886543820649
exc_23P_2,101,1,excitatory,23P,4,3,1.3333333333333333,0.5,-1.2897158933523474,,0.00010756689474110719,37186.16224468718,0.081151629669244
exc_23P_2,102,1,excitatory,23P,3,2,1.5,0.6666666666666666,-0.1193010948437343,,0.000183587437359383,16340.987396252647,0.035564994777985
exc_23P_2,103,0,excitatory,23P,3,3,1.0,0.0,-1.614970185725536,,0.00032870641320882995,9126.6853320993,0.0212863376242427
exc_23P_2,106,2,excitatory,23P,8,5,1.6,0.75,-1.4599257578361071,0.172082031132143,0.00012365807443776115,64694.521860976514,0.1232522238064577
exc_23P_2,110,1,excitatory,23P,7,5,1.4,0.42857142857142855,0.7311924684464682,0.062603117946206,0.00042336185638160384,16534.319033433283,0.0322614461979673
